"Question","Characteristics","response","count","State"
"Currently caught up on mortgage or rental payments","Did not report","Enough food, but not always the kinds wanted",58015,"AL"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Enough food, but not always the kinds wanted",230632,"AL"
"Currently caught up on mortgage or rental payments","No","Enough food, but not always the kinds wanted",66638,"AL"
"Currently caught up on mortgage or rental payments","Yes","Enough food, but not always the kinds wanted",589549,"AL"
"Difficulty hearing","A lot of difficulty","Enough food, but not always the kinds wanted",15561,"AL"
"Difficulty hearing","Cannot do at all","Enough food, but not always the kinds wanted",4636,"AL"
"Difficulty hearing","Did not report","Enough food, but not always the kinds wanted",46638,"AL"
"Difficulty hearing","No difficulty","Enough food, but not always the kinds wanted",724971,"AL"
"Difficulty hearing","Some difficulty","Enough food, but not always the kinds wanted",153028,"AL"
"Difficulty remembering or concentrating","A lot of difficulty","Enough food, but not always the kinds wanted",77636,"AL"
"Difficulty remembering or concentrating","Cannot do at all","Enough food, but not always the kinds wanted",14760,"AL"
"Difficulty remembering or concentrating","Did not report","Enough food, but not always the kinds wanted",46638,"AL"
"Difficulty remembering or concentrating","No difficulty","Enough food, but not always the kinds wanted",360398,"AL"
"Difficulty remembering or concentrating","Some difficulty","Enough food, but not always the kinds wanted",445402,"AL"
"Difficulty seeing","A lot of difficulty","Enough food, but not always the kinds wanted",54300,"AL"
"Difficulty seeing","Cannot do at all","Enough food, but not always the kinds wanted",7021,"AL"
"Difficulty seeing","Did not report","Enough food, but not always the kinds wanted",46638,"AL"
"Difficulty seeing","No difficulty","Enough food, but not always the kinds wanted",435596,"AL"
"Difficulty seeing","Some difficulty","Enough food, but not always the kinds wanted",401278,"AL"
"Difficulty walking or climbing stairs","A lot of difficulty","Enough food, but not always the kinds wanted",89388,"AL"
"Difficulty walking or climbing stairs","Cannot do at all","Enough food, but not always the kinds wanted",4636,"AL"
"Difficulty walking or climbing stairs","Did not report","Enough food, but not always the kinds wanted",46638,"AL"
"Difficulty walking or climbing stairs","No difficulty","Enough food, but not always the kinds wanted",529362,"AL"
"Difficulty walking or climbing stairs","Some difficulty","Enough food, but not always the kinds wanted",274810,"AL"
"Education","Bachelor’s degree or higher","Enough food, but not always the kinds wanted",170778,"AL"
"Education","High school or GED","Enough food, but not always the kinds wanted",307057,"AL"
"Education","Less than high school","Enough food, but not always the kinds wanted",51129,"AL"
"Education","Some college/associate’s degree","Enough food, but not always the kinds wanted",415869,"AL"
"Experienced loss of employment income in last 4 weeks","Did not report","Enough food, but not always the kinds wanted",NA,"AL"
"Experienced loss of employment income in last 4 weeks","No","Enough food, but not always the kinds wanted",824914,"AL"
"Experienced loss of employment income in last 4 weeks","Yes","Enough food, but not always the kinds wanted",119920,"AL"
"Free groceries in last 7 days","Did not report","Enough food, but not always the kinds wanted",20707,"AL"
"Free groceries in last 7 days","No","Enough food, but not always the kinds wanted",827359,"AL"
"Free groceries in last 7 days","Yes","Enough food, but not always the kinds wanted",96768,"AL"
"Frequency of feeling down, depressed, or hopeless","Did not report","Enough food, but not always the kinds wanted",1311,"AL"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Enough food, but not always the kinds wanted",76581,"AL"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Enough food, but not always the kinds wanted",177694,"AL"
"Frequency of feeling down, depressed, or hopeless","Not at all","Enough food, but not always the kinds wanted",353576,"AL"
"Frequency of feeling down, depressed, or hopeless","Several days","Enough food, but not always the kinds wanted",335673,"AL"
"Frequency of feeling nervous, anxious, on edge","Did not report","Enough food, but not always the kinds wanted",1311,"AL"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Enough food, but not always the kinds wanted",82425,"AL"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Enough food, but not always the kinds wanted",220138,"AL"
"Frequency of feeling nervous, anxious, on edge","Not at all","Enough food, but not always the kinds wanted",249100,"AL"
"Frequency of feeling nervous, anxious, on edge","Several days","Enough food, but not always the kinds wanted",391860,"AL"
"Frequency of having little interest or pleasure in doing things","Did not report","Enough food, but not always the kinds wanted",7308,"AL"
"Frequency of having little interest or pleasure in doing things","More than half the days","Enough food, but not always the kinds wanted",115443,"AL"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Enough food, but not always the kinds wanted",177740,"AL"
"Frequency of having little interest or pleasure in doing things","Not at all","Enough food, but not always the kinds wanted",294056,"AL"
"Frequency of having little interest or pleasure in doing things","Several days","Enough food, but not always the kinds wanted",350287,"AL"
"Frequency of not being able to stop or control worrying","Did not report","Enough food, but not always the kinds wanted",2197,"AL"
"Frequency of not being able to stop or control worrying","More than half the days","Enough food, but not always the kinds wanted",129760,"AL"
"Frequency of not being able to stop or control worrying","Nearly every day","Enough food, but not always the kinds wanted",157173,"AL"
"Frequency of not being able to stop or control worrying","Not at all","Enough food, but not always the kinds wanted",353597,"AL"
"Frequency of not being able to stop or control worrying","Several days","Enough food, but not always the kinds wanted",302108,"AL"
"Gender","Cisgender female","Enough food, but not always the kinds wanted",570429,"AL"
"Gender","Cisgender male","Enough food, but not always the kinds wanted",366184,"AL"
"Gender","Did not report","Enough food, but not always the kinds wanted",2513,"AL"
"Gender","None of these","Enough food, but not always the kinds wanted",4636,"AL"
"Gender","Transgender","Enough food, but not always the kinds wanted",1072,"AL"
"Hispanic origin and Race","Asian alone, not Hispanic","Enough food, but not always the kinds wanted",42947,"AL"
"Hispanic origin and Race","Black alone, not Hispanic","Enough food, but not always the kinds wanted",210189,"AL"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Enough food, but not always the kinds wanted",46628,"AL"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Enough food, but not always the kinds wanted",38141,"AL"
"Hispanic origin and Race","White alone, not Hispanic","Enough food, but not always the kinds wanted",606929,"AL"
"Household income","$100,000 - $149,999","Enough food, but not always the kinds wanted",33379,"AL"
"Household income","$150,000 - $199,999","Enough food, but not always the kinds wanted",29906,"AL"
"Household income","$200,000 and above","Enough food, but not always the kinds wanted",11048,"AL"
"Household income","$25,000 - $34,999","Enough food, but not always the kinds wanted",180654,"AL"
"Household income","$35,000 - $49,999","Enough food, but not always the kinds wanted",124135,"AL"
"Household income","$50,000 - $74,999","Enough food, but not always the kinds wanted",202671,"AL"
"Household income","$75,000 - $99,999","Enough food, but not always the kinds wanted",74664,"AL"
"Household income","Did not report","Enough food, but not always the kinds wanted",111044,"AL"
"Household income","Less than $25,000","Enough food, but not always the kinds wanted",177333,"AL"
"Household size","1 person in the household","Enough food, but not always the kinds wanted",80637,"AL"
"Household size","2 people in the household","Enough food, but not always the kinds wanted",289508,"AL"
"Household size","3 people in the household","Enough food, but not always the kinds wanted",153425,"AL"
"Household size","4 people in the household","Enough food, but not always the kinds wanted",219448,"AL"
"Household size","5 people in the household","Enough food, but not always the kinds wanted",70253,"AL"
"Household size","6 people in the household","Enough food, but not always the kinds wanted",100477,"AL"
"Household size","7 or more people in the household","Enough food, but not always the kinds wanted",31085,"AL"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Enough food, but not always the kinds wanted",21993,"AL"
"Lesbian, Gay, Bisexual and Transgender","No","Enough food, but not always the kinds wanted",848163,"AL"
"Lesbian, Gay, Bisexual and Transgender","Other","Enough food, but not always the kinds wanted",8207,"AL"
"Lesbian, Gay, Bisexual and Transgender","Yes","Enough food, but not always the kinds wanted",66471,"AL"
"Marital status","Did not report","Enough food, but not always the kinds wanted",8797,"AL"
"Marital status","Divorced/separated","Enough food, but not always the kinds wanted",175449,"AL"
"Marital status","Married","Enough food, but not always the kinds wanted",511280,"AL"
"Marital status","Never married","Enough food, but not always the kinds wanted",219482,"AL"
"Marital status","Widowed","Enough food, but not always the kinds wanted",29826,"AL"
"Presence of children under 18 years old","Children in household","Enough food, but not always the kinds wanted",402108,"AL"
"Presence of children under 18 years old","No children","Enough food, but not always the kinds wanted",542726,"AL"
"Reason for not working","Did not report reason","Enough food, but not always the kinds wanted",522556,"AL"
"Reason for not working","I am retired","Enough food, but not always the kinds wanted",131338,"AL"
"Reason for not working","I did not have transportation to work","Enough food, but not always the kinds wanted",NA,"AL"
"Reason for not working","I did not want to be employed at this time","Enough food, but not always the kinds wanted",11450,"AL"
"Reason for not working","I was caring for an elderly person","Enough food, but not always the kinds wanted",11213,"AL"
"Reason for not working","I was caring for children not in school or daycare","Enough food, but not always the kinds wanted",19296,"AL"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Enough food, but not always the kinds wanted",8260,"AL"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Enough food, but not always the kinds wanted",NA,"AL"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Enough food, but not always the kinds wanted",17001,"AL"
"Reason for not working","I was sick (not coronavirus related) or disabled","Enough food, but not always the kinds wanted",60219,"AL"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Enough food, but not always the kinds wanted",7822,"AL"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Enough food, but not always the kinds wanted",NA,"AL"
"Reason for not working","Other reason","Enough food, but not always the kinds wanted",155679,"AL"
"Received SNAP","Did not report","Enough food, but not always the kinds wanted",NA,"AL"
"Received SNAP","No","Enough food, but not always the kinds wanted",800264,"AL"
"Received SNAP","Yes","Enough food, but not always the kinds wanted",144570,"AL"
"Respondent employed in the last 7 days","Did not report","Enough food, but not always the kinds wanted",NA,"AL"
"Respondent employed in the last 7 days","No","Enough food, but not always the kinds wanted",424791,"AL"
"Respondent employed in the last 7 days","Yes","Enough food, but not always the kinds wanted",520043,"AL"
"Sex at birth","Female","Enough food, but not always the kinds wanted",577578,"AL"
"Sex at birth","Male","Enough food, but not always the kinds wanted",367256,"AL"
"Sexual orientation","Bisexual","Enough food, but not always the kinds wanted",35277,"AL"
"Sexual orientation","Did not report","Enough food, but not always the kinds wanted",21993,"AL"
"Sexual orientation","Gay or lesbian","Enough food, but not always the kinds wanted",30122,"AL"
"Sexual orientation","I don’t know","Enough food, but not always the kinds wanted",3571,"AL"
"Sexual orientation","Something else","Enough food, but not always the kinds wanted",1072,"AL"
"Sexual orientation","Straight","Enough food, but not always the kinds wanted",852799,"AL"
"Total","","Enough food, but not always the kinds wanted",944834,"AL"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Enough food, but not always the kinds wanted",76523,"AL"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Enough food, but not always the kinds wanted",62768,"AL"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Enough food, but not always the kinds wanted",326012,"AL"
"Used in the last 7 days to meet spending needs*","Did not report","Enough food, but not always the kinds wanted",32810,"AL"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Enough food, but not always the kinds wanted",11523,"AL"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Enough food, but not always the kinds wanted",374239,"AL"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Enough food, but not always the kinds wanted",39108,"AL"
"Used in the last 7 days to meet spending needs*","Other","Enough food, but not always the kinds wanted",66585,"AL"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Enough food, but not always the kinds wanted",663094,"AL"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Enough food, but not always the kinds wanted",55324,"AL"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Enough food, but not always the kinds wanted",118255,"AL"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Enough food, but not always the kinds wanted",94084,"AL"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Enough food, but not always the kinds wanted",12830,"AL"
"Active duty military*","Did not report","Often not enough to eat",NA,"AL"
"Active duty military*","No active duty service (self or spouse)","Often not enough to eat",327689,"AL"
"Active duty military*","Serving in Reserve or National Guard","Often not enough to eat",2405,"AL"
"Active duty military*","Serving on active duty","Often not enough to eat",NA,"AL"
"Active duty military*","Spouse serving in Reserve or National Guard","Often not enough to eat",NA,"AL"
"Active duty military*","Spouse serving on active duty","Often not enough to eat",NA,"AL"
"Age","18 - 24","Often not enough to eat",37101,"AL"
"Age","25 - 39","Often not enough to eat",84616,"AL"
"Age","40 - 54","Often not enough to eat",111822,"AL"
"Age","55 - 64","Often not enough to eat",37024,"AL"
"Age","65 and above","Often not enough to eat",59531,"AL"
"Confidence in paying next rent or mortgage","Did not report","Often not enough to eat",135106,"AL"
"Confidence in paying next rent or mortgage","High confidence","Often not enough to eat",28372,"AL"
"Confidence in paying next rent or mortgage","Moderate confidence","Often not enough to eat",92435,"AL"
"Confidence in paying next rent or mortgage","No confidence","Often not enough to eat",58389,"AL"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Often not enough to eat",NA,"AL"
"Confidence in paying next rent or mortgage","Slight confidence","Often not enough to eat",15793,"AL"
"Covered by health insurance","Did not report or don’t know","Often not enough to eat",27697,"AL"
"Covered by health insurance","No","Often not enough to eat",46912,"AL"
"Covered by health insurance","Yes","Often not enough to eat",255486,"AL"
"Currently caught up on mortgage or rental payments","Did not report","Often not enough to eat",33604,"AL"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Often not enough to eat",98982,"AL"
"Currently caught up on mortgage or rental payments","No","Often not enough to eat",57430,"AL"
"Currently caught up on mortgage or rental payments","Yes","Often not enough to eat",140079,"AL"
