Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Difficulty seeing,No difficulty,94047424,26752063,7858977,2146543,724654,1234132,435596,77893,110562,,221600,65810,14183,5637,234,1974222,652138,193521,27748,30756,699201,189065,59345,19167,,11821994,2773207,1206345,209508,48786,1935185,518113,94032,29146,4379,1177824,257797,43655,57425,10603,285956,99256,17617,2446,1779,256064,25581,23225,1292,,5162576,2317071,600191,213564,91566,2470028,857957,408593,65603,5029,403258,157472,16496,3501,4039,577077,160941,67498,1701,5054,3473686,1100824,243615,101921,6377,1859553,361484,153094,46496,28571,994311,287774,59003,10401,1008,837334,262330,65321,4074,10826,1155417,364472,119773,27288,5025,776476,381938,144777,65599,2785,460470,139683,46683,2018,6059,1989939,466859,112920,40114,20373,2309801,534765,116243,19412,25495,3144977,748138,204746,49669,11609,1941482,485594,73316,16164,12462,582079,281976,98599,38185,1361,1875523,510049,121877,62889,15716,372252,75008,22386,2463,862,591268,185612,22808,6083,2496,788353,342148,135586,29775,16040,465545,118172,56560,6721,5820,2831185,642964,134704,40369,27769,467038,167358,83997,7769,2414,5942966,1383537,313409,191437,42194,3045949,766547,287096,75858,7084,234200,79314,13483,13260,500,3586825,1097141,181722,46981,3348,899025,314833,79503,35078,16953,1331501,322525,53075,45075,8740,3827080,974561,268491,98246,8135,353015,89708,21941,5280,6970,1491197,408089,128913,45637,15049,279697,63712,15631,5728,3615,1830270,544845,101794,62455,11246,7300146,2352187,1080247,73371,149027,976905,336675,55137,6583,1081,234536,41921,12919,12430,1164,2519700,673150,157197,45458,17292,2687727,584381,86416,28769,16460,348306,155779,46637,3748,5785,1860215,533654,105759,23650,,162357,62356,11005,2788,4717,5837836,1105228,238890,193709,56783
Difficulty seeing,Some difficulty,31129114,20100553,6449939,1652929,288059,468610,401278,125555,22445,5842,77097,42284,8576,4250,,899583,373832,186188,32300,21785,294148,275852,54728,31504,3593,3359482,2256695,564800,127818,3980,572168,300206,117050,19554,,306005,151700,68955,23411,,106328,70585,19597,8822,,62683,21939,5430,3080,179,1959546,1523455,509045,67845,3808,1063166,680949,240389,46531,12947,145094,119390,29696,1263,5810,192043,130897,36372,10807,3104,1129430,996017,257397,90719,1086,748864,477914,119091,45061,6452,278888,209791,53949,11124,4535,241347,165582,70441,25310,,377339,326421,103273,50595,,344451,325179,123217,73351,33246,139869,110880,16890,6273,,723625,320770,97621,7064,1307,601575,372371,127572,21264,5143,825746,632604,217275,69439,,523182,271536,88907,36735,9838,262683,268495,46341,23226,1698,618196,273192,41028,84456,1449,109075,81410,35174,10841,,174117,72594,45011,7364,3282,290774,169419,87028,578,2740,166816,94770,20689,3673,,896533,544180,105659,41931,24757,252487,109183,77058,4363,1219,1535489,1221314,452082,107750,4251,931059,560974,257853,87692,12211,61114,32763,5604,7298,1566,1254792,528200,263971,24070,7928,467606,319925,102781,17708,,536260,297038,65596,27684,,1216338,769615,317678,45422,12102,113763,58655,21210,,,418088,344065,41296,3561,,95442,75175,9291,6423,,707667,492953,145829,76951,,2585238,1568475,552026,131683,82935,338530,184259,66104,14911,,60626,39023,6183,5580,2346,960053,438069,125254,34725,1187,771673,496031,158127,31805,1242,174853,231788,53988,3000,2689,643352,237664,101049,12853,1049,46218,33197,4015,814,749,1727870,1093733,465694,130134,21323
Difficulty walking or climbing stairs,A lot of difficulty,3744494,3511359,1767658,799251,57451,68305,89388,32516,15011,5842,5786,5907,244,1421,,112375,65543,48906,12844,2086,52013,67936,21960,16932,,361016,509156,298511,60678,,49900,35695,18678,12244,,49802,35307,17933,10058,,7171,11673,1559,188,,8710,2977,1427,,,343853,200209,121324,33594,,102555,125432,65374,37835,10344,12126,12671,8238,755,,17935,19814,6459,4684,,110910,104706,25965,,,119994,74156,7029,8557,663,28947,31445,13160,797,,26279,25671,9086,523,,48542,73252,36612,27063,,35743,60058,52448,24527,,19792,13103,10708,3773,,109932,31276,40144,10059,,62379,29964,26158,22801,4833,52501,97017,89594,69111,,42487,42485,27916,11881,,47072,58192,17808,6895,,61404,44161,45619,22385,,14546,8309,2044,2439,,25617,14840,5695,4521,,30048,32922,36508,10974,,13056,11601,10321,451,2277,115032,99296,44628,1123,,29026,16718,9582,3531,,245995,190925,114896,52111,,54316,153937,63002,8372,1439,10996,6127,3556,769,489,207163,115011,4940,11461,2731,55341,44405,50600,7798,,67485,34165,12281,4203,,126490,117700,106755,24003,,5863,4325,,,,54800,96113,12270,2049,,12349,7179,,1654,,49687,103534,19740,14433,,266255,304027,109185,135171,24058,49288,30438,15656,3961,,5207,5201,1049,1523,,119489,83647,32119,45518,,103633,96196,35627,33648,,34453,20210,15602,5286,2689,86555,37711,15650,8789,,4276,9631,576,850,,314702,208660,137196,52111,
Difficulty walking or climbing stairs,Cannot do at all,540760,511002,222457,274363,10222,29721,4636,768,,,1889,87,,184,,21480,7373,2156,49463,,1574,4517,,3377,,22281,34596,24305,20229,,7339,782,875,3800,,6134,,,,,,1680,,,,7052,,,19016,,56652,46996,10070,49203,,10562,31653,18164,,,1013,218,,,,2515,2216,,588,,16135,49460,,16291,,14222,5001,2222,,,797,2372,,,,,,,,,4987,,2863,,,8648,2378,,33919,1777,6819,1268,,,,8934,8230,,,,2090,4371,2087,6738,,4314,7194,5370,1859,,13181,4727,,,7364,3352,25443,,,,35198,7566,,,,716,,3855,,1081,6066,,,8689,,8821,19244,444,,,,3163,,,,54884,,,,,4626,1867,2881,,,31067,4326,,10641,,9879,,2426,,,,409,493,,,9356,17238,20489,12752,,8903,12247,10522,,,8569,2694,6015,4065,,,3737,47048,6710,,,,1920,,,,26110,13311,,,723,,,,,7005,43733,4318,14892,,73612,34781,30916,4035,,8229,9129,,2161,,722,,,609,,515,39881,2285,,,10883,29649,556,5140,,470,7929,,,,8826,2099,6097,,,,,,,,64055,,,10641,
Difficulty walking or climbing stairs,Did not report,6669659,4284528,1814159,823882,39719738,106777,46638,33604,5026,582178,12216,5816,5116,2163,59853,147332,141498,53376,,713901,78894,38518,5315,4682,384637,856736,650325,171980,58175,4514302,85395,46905,16070,2823,594020,85976,52979,15486,5049,466167,18931,18769,7857,361,101454,15488,5449,9047,1043,32056,483089,213717,128860,215182,3057722,221520,130978,146720,2262,1383485,24032,19140,30211,,119260,28654,16866,7812,502,167546,178129,173302,45496,3407,1512825,126200,29728,6473,5796,939892,59712,11626,19043,7959,333196,46577,33428,,4868,327366,67720,54071,16990,6312,625976,102034,101284,8685,9994,763416,23830,8884,1968,815,113137,136428,153316,42575,12035,459298,141060,84980,46636,11560,833606,167801,73347,78822,32402,1302687,117003,32374,34984,15153,550851,45926,51952,13335,,337776,114251,49451,60381,38173,623667,22846,13709,12581,6424,76419,40081,32903,12671,3152,223314,31604,72545,5931,1809,374318,21937,13536,966,2394,111936,171039,117475,75189,8080,1285430,46030,42702,9183,,272872,410144,236009,149331,164495,2585283,189097,174570,5118,,1494662,12298,7864,352,1143,75546,310877,159246,78348,41413,1048308,57515,97173,17307,,405222,75817,35754,13083,9021,414210,282770,123088,49536,4438,1646077,18649,10381,2106,1176,132067,150992,33856,14625,1512,818795,16543,3147,,,67837,140167,128597,47309,4603,852402,524763,385505,179069,76228,4058260,88123,44275,2583,330,252462,10906,10443,9996,,52205,217625,125295,41106,7104,982105,127715,113872,36422,7362,666714,31796,9824,8654,,232348,170250,40855,29630,35288,614649,8366,6559,6221,2166,76020,430986,191541,140363,75084,2717649
Difficulty walking or climbing stairs,No difficulty,102459873,32621523,9758408,2552020,754016,1222015,529362,149659,117516,,248286,67335,17570,6008,234,2249899,708356,274090,58463,50455,794636,279780,53928,30055,1877,12813681,3541177,1570222,236300,37659,2135131,621590,130571,45707,4379,1237161,269440,66556,36210,10603,310010,102124,26990,4281,1779,271309,23930,19668,3088,179,5744296,2495712,893796,223381,90834,2886558,1164603,506149,99336,2603,425244,206779,33490,2958,4039,617074,225144,77921,14853,4539,3704293,1345303,236327,108223,6377,2073497,559509,193599,77131,27369,1074938,298335,74288,3146,4535,894662,305685,85715,17974,10826,1151243,395433,144344,19125,3939,854568,406813,140051,93228,32238,513933,179783,51502,3255,6059,2151045,545941,138378,27740,14437,2528192,705248,152862,10996,21511,3327093,984056,198185,42839,10829,2126689,507821,94917,24593,22301,628170,368520,102485,42033,3059,1935958,547557,121997,115338,15716,391824,97935,36374,10586,862,639616,193831,37853,3181,5308,880196,338222,139408,30352,10472,545316,177702,53641,7870,2405,3023620,865375,169424,79996,28113,570611,216937,113922,5953,3633,6394986,1826880,445655,150972,31717,3252931,931294,471763,147314,,246579,94374,18803,17935,500,3885773,1187944,317130,46261,8545,1059504,414529,118463,40677,16953,1506571,447398,63286,42081,8740,4104869,1205196,423614,129242,8135,391693,103591,28819,5280,416,1535950,401916,100853,56796,15049,304250,102198,15967,9812,3615,1977033,704015,141058,53312,6906,8151008,2913915,821122,126741,167626,1076134,379516,72185,8977,,258656,64571,13506,2675,3510,2851878,874327,225171,53945,18480,2886836,743939,136289,27465,14629,403778,281131,75003,1595,5139,2037894,607881,157561,26723,,162783,61569,6275,2503,4890,6368333,1574869,435132,190242,38965
Difficulty walking or climbing stairs,Some difficulty,20815619,12874046,4472910,1215810,205806,404480,274810,113548,2658,,44563,37550,5414,3690,,558147,271348,75655,13133,,181734,172023,57800,17341,1715,2238604,1229217,283540,90380,15107,362996,219231,99407,18835,,236245,121447,30837,35098,,80339,53994,28915,6987,284,37847,20973,10246,1285,,1197972,1345017,316216,80506,4541,635870,403569,110597,31176,5029,117693,61049,5899,4010,5810,146043,64098,25090,2261,3280,812870,694813,284908,120296,1086,461447,233095,97231,13373,6991,193157,177199,29481,18380,1008,178169,123789,50106,29749,,354931,253421,48744,49435,6958,265788,286753,116929,21419,2017,70155,61190,7216,4516,,470828,241159,59960,14826,7242,368492,199003,85983,18533,9127,638347,333120,167702,33777,780,330484,222845,46141,16425,,193219,144639,60795,31720,,520801,207434,50095,45277,1449,88596,54805,18406,279,,98195,54528,24996,7366,1620,181915,158998,78501,879,5127,79155,33056,16012,2073,1138,620593,248633,48762,10760,24413,125942,69050,44434,24531,,929228,683350,233268,105212,,702383,337417,90382,10655,12062,40701,15360,7546,1853,1566,800354,412134,143628,71194,,270323,223430,34177,14489,,316547,176720,52782,25432,,857603,481836,142446,16770,12102,78126,45081,13908,265,6554,370927,255655,48745,14503,,62619,34135,12366,2477,,528793,302388,127949,82481,4341,1657376,939658,809250,26575,57668,208276,111842,38412,7592,1444,32427,16953,5596,13204,,575349,212105,56022,2319,,527607,258959,83577,21436,3073,98056,116026,22728,9330,646,418318,150336,40590,18121,1049,44987,28806,9967,927,576,962771,498499,142926,91070,24413
Education,Bachelor’s degree or higher,56179499,11954235,1840145,532286,7403599,625166,170778,36237,28340,73404,108498,23770,2501,1808,9902,1105591,270518,37200,44248,116765,336967,87565,12730,6954,50901,7205647,1254126,237806,68395,843115,1339233,270381,29038,6535,141823,793066,139140,12986,10746,91024,179065,43185,1927,2446,17875,236371,24899,4943,,10191,3386168,876493,110120,73291,566053,1597683,554134,55876,10776,220047,226800,69378,14589,,32562,287700,57973,11381,2618,24212,2199226,490362,81017,19058,404372,937163,205563,24257,11868,97656,501208,95731,12220,1788,35597,507127,109963,2292,3763,54618,562266,115910,23011,5292,91217,581878,90448,14933,3378,102865,252319,65799,3453,1544,25131,1318344,299805,27594,10117,145220,1729711,310166,56135,2303,184976,1554663,334628,67838,28806,179003,1146310,197874,25674,6662,124148,252494,112032,17199,5035,62923,950305,209986,37516,15573,106232,212441,35119,8839,1084,11690,331634,74444,6656,935,33912,383159,108490,25117,8587,58017,297975,55344,7885,4441,27507,2026333,338700,36469,13892,350141,294696,59207,9594,606,47107,3824492,847040,175576,17720,498056,1779617,349558,54045,19884,232266,103756,26299,5926,2569,20902,1857119,296069,40421,13307,227409,473910,146792,16412,6161,72496,849293,135106,17983,5003,65240,2169265,448370,66628,10188,334405,207672,39518,10504,286,20100,753239,165175,30556,7095,155568,147309,16881,6760,370,10148,996647,266746,51828,3753,122314,4132036,1052259,191007,19094,763494,540943,135099,15067,1527,44852,151217,17723,2094,333,13180,1827409,317315,60559,15436,197307,1614242,282276,25813,7359,130488,176834,70834,6289,215,21457,1027935,163086,6160,,122995,79354,26178,1483,1098,10716,4318450,771431,183390,31612,629936
Education,High school or GED,34167296,17811586,7396339,2321825,16056088,579065,307057,184234,51978,244303,89593,41413,15448,4735,22283,817207,387160,155084,14669,337435,404366,223880,39858,36600,188122,2806413,1183144,959016,135555,1359871,600780,217321,131470,36246,207837,413984,150936,81078,41961,190264,101461,94620,40228,,43706,23975,11978,6488,1796,5047,1755145,1886182,540300,107436,1300780,1070478,520141,376695,81364,667642,169488,86181,39302,,73090,193034,84442,36407,9260,71263,1306226,901591,235186,163742,360502,879917,336591,161446,76557,557490,403558,202195,43373,13235,160509,228802,154722,54110,18727,145614,496450,419596,102101,57155,371078,278554,331048,169313,146760,335255,190901,110399,49323,,38389,667553,376002,127281,30618,103404,687222,267165,118329,27154,240785,1200323,455570,194514,67301,614767,573326,283039,102422,39449,206023,284335,192774,112794,45203,135491,859308,360574,119426,156864,202029,121988,64104,21883,7709,25689,180595,102904,27587,10346,75398,293111,250944,123186,6502,128011,166870,93544,28529,,53651,963256,417827,178966,47848,565234,222140,83017,56814,22606,106189,1948432,927924,358040,169150,1242347,1074867,637374,127052,93635,655205,81598,44827,11270,,27230,1764779,885328,370687,26642,343482,455880,330620,88069,38919,218329,413621,210828,76933,42935,187196,1754608,767925,398446,94674,649192,163911,52324,17667,4326,57251,728324,253892,66070,26949,408514,114715,75894,9078,8728,30538,932676,436864,160354,112929,391520,2492865,1168724,567223,132531,1401730,334219,128497,62819,6062,109518,80297,30890,17731,10959,24169,986880,396415,157109,36262,423330,747007,335132,114452,20432,294430,212144,228877,42961,11339,169582,796377,266862,109757,24446,260227,54672,34326,8431,1533,25147,1872136,616103,354001,144640,1354063
Education,Less than high school,6071055,5145232,3303592,1040311,5114173,96246,51129,36413,45737,98335,5626,1796,1857,4599,9073,150385,45023,115172,27475,71153,57482,48421,16008,9172,48884,1475424,1372490,798029,48647,857670,40829,62614,23452,14409,31542,36216,13056,11022,18136,59483,11805,4790,7742,5226,5670,7052,252,1285,20132,4267,409354,272863,351067,152659,265352,146667,159812,92983,,183342,15374,10012,687,,5810,51182,43803,13720,3251,22113,67875,265541,39668,,169602,119548,25737,73643,,53212,36961,41334,5282,7959,6944,52022,34242,34613,21570,26473,46237,30341,14151,10249,24758,109098,143761,42384,14596,84709,2969,9343,4497,1968,18815,176284,13051,73867,,74093,101065,100561,32084,28735,171553,132704,133808,53963,,124525,96878,20482,,,50242,51840,84942,17706,3804,48461,97576,17932,8196,23683,62951,23743,7556,22009,10934,3621,20911,21865,18496,5913,30258,67607,37975,32536,10974,86830,5821,11081,24419,2374,7805,100903,196654,22327,,119076,61601,37744,46471,3032,34976,413858,340899,98167,117465,146187,126726,,212656,17747,117403,1998,,783,14128,8009,161305,65653,12847,59535,102751,55947,51468,33221,,23667,33083,74481,11884,16998,25489,191363,129568,39691,13283,299186,11622,11414,,,16407,45088,44071,,22065,49047,5835,3487,495,4355,3064,151279,60586,25005,14892,61048,640576,731942,616090,178429,1160024,61268,44380,9677,,17440,4601,13089,,2366,787,45296,64996,64873,18480,85360,129136,112875,45491,11409,100690,11282,21880,29070,3000,2935,102323,52763,64076,50925,5590,3183,1666,3813,,27490,386527,383697,78601,117465,155161
Education,Some college/associate’s degree,37812555,18891405,5495515,1770904,12173371,530819,415869,73211,14158,171979,109023,49716,8539,2323,18828,1016050,491418,146726,47513,241089,310036,202906,70407,19662,100323,4804835,2154711,353706,213164,1506411,659919,373886,81642,26218,217197,372052,176040,25727,15571,135999,124120,45644,15425,4145,36266,73008,16201,27672,2505,12730,2275195,1266113,468779,268480,1020912,1042237,622148,321450,78470,330431,168446,134285,23261,7722,17647,280305,141920,55774,7759,57777,1249009,710090,236825,65417,585812,858731,333598,47210,16433,266557,415824,181717,75096,7299,135689,357734,189646,53892,9055,111486,522470,210329,110290,29240,149819,297251,292029,91483,18353,276619,188340,78687,14120,8848,36861,714986,291063,52314,23926,158261,584214,345674,107178,12436,271764,1302366,570728,223357,83879,396001,813330,308858,75863,21942,200102,329069,258998,46724,26607,93961,760423,267677,112954,25053,269619,160357,67979,20529,,37362,276435,96889,28477,9716,90673,388707,224520,79954,17952,117059,188798,79089,20107,5973,28794,894676,377597,100241,38219,303505,197798,167306,67123,7772,88233,1824638,825626,311368,179096,730410,1227397,610286,238939,35075,503289,123221,53007,12770,5002,21959,1430319,644525,140582,83598,385941,465849,262904,93366,17884,107683,678992,276317,40648,19866,145025,1256495,585694,264634,63018,383531,111127,60121,18583,2109,45279,586016,350512,93179,18750,220715,128625,50397,12001,489,27701,622082,518072,103188,38147,288766,3407537,1624962,575222,38695,982365,493620,267223,41273,15432,82096,71806,35466,10321,4353,17580,905271,556529,74161,38708,294587,1166290,512333,106715,55850,158807,168294,113529,43666,1657,46848,795208,356171,69535,13550,226887,83202,44396,9311,3815,18133,1563733,702339,239625,125429,641867
Experienced loss of employment income in last 4 weeks,Did not report,180081,93923,99281,30843,7856043,,,,4636,107686,613,,,,12318,,2381,,,91750,12964,1791,,,132167,21377,,16279,,925499,1267,,,,162190,,1071,,,79553,,,,,18481,,,,,3232,2446,6742,64414,1572,510123,1596,,,,320819,436,,,,16800,582,,,,49091,4008,,,,292638,9585,,,,184144,1501,,,,39965,8412,,,,67108,,4492,,,134103,,,,,132594,,,,,30960,4921,,,,81338,,2605,9406,,138641,1657,1281,,,232907,,,,,82933,12383,,,,76878,,,894,6821,129388,,,,,12901,12015,,,,35450,3845,,,,93234,692,,,,10524,,,,,239714,,,5275,,49726,,54946,,,411568,12490,3082,,,290137,164,,,822,20796,7416,1740,,,272147,3669,,875,2100,84699,1385,2710,,,61992,3545,,,,371864,,2674,,,26787,8640,,,,216826,1499,,,,8413,1475,,,14892,151927,11432,,1582,,947119,3315,5572,,,59952,276,,,,6173,670,,,,183776,12992,1050,556,,115596,,1328,,,62192,10809,,,,55271,,459,,,13955,,48841,,,458045
Experienced loss of employment income in last 4 weeks,No,125584413,44125922,11886832,3291525,28084162,1754775,824914,280180,100980,381948,281567,79673,19155,6363,41067,2897948,943369,335106,45746,579724,1054998,487814,109094,59432,231182,14753812,4619199,1407198,199512,2943664,2504648,851889,113714,70552,325710,1550510,390444,117851,54970,347090,399515,171153,55022,149,72444,308207,44093,30703,4124,23206,7373676,3416933,955674,266737,2245100,3493340,1469993,439648,96903,730309,500745,210522,68560,1263,76773,788137,267833,86998,20202,112474,4445430,2132025,438371,98270,1055088,2617466,731963,212804,81469,648543,1272902,427997,95821,28515,258109,1104303,410477,100597,33069,232731,1545409,634287,172746,64330,391432,1173066,745454,199461,92942,578523,611461,246102,43236,6155,67495,2729645,833911,177765,42587,367729,2928755,842383,220287,65094,603847,3957731,1309028,397631,112840,962870,2479302,712953,154004,51627,456654,876096,527128,141531,58755,221705,2566504,727605,214228,163202,480566,483867,166149,43032,19728,48152,756170,256256,57001,15726,182892,1050709,482078,141899,37441,260638,634323,198564,49164,7478,101945,3766002,1085460,222461,72671,1004558,694985,285590,117398,11943,182550,7415796,2348776,570643,342501,1935722,3949254,1356298,411778,113986,1114968,295323,95910,23533,19055,50711,4963161,1618885,377441,145069,656538,1379914,706587,146444,40273,267252,1812648,545606,116242,67250,298673,5047814,1745378,476506,139739,1071341,475394,136027,33921,2618,104746,2010448,678089,156155,66248,593787,379755,136094,18885,5180,59485,2507823,1048722,246576,113497,635616,10110289,3355090,1245989,59310,2921436,1341019,462075,97876,19418,174988,279605,82015,16575,18010,42997,3579414,1094298,252574,59053,725278,3397529,1010979,203064,45131,523888,514128,370042,83976,5526,157613,2554898,705243,175072,32438,473411,214198,96571,15244,6446,58991,7609336,1950202,515863,262474,2007970
Experienced loss of employment income in last 4 weeks,Yes,8465911,9582611,6049478,2342958,4807027,76522,119920,49915,34596,98386,30560,37022,9190,7103,6702,191285,248368,119077,88159,94967,40888,73167,29909,12956,24880,1517129,1345273,925080,266250,697905,134847,72313,151887,12857,110499,64808,87658,12962,31444,50127,16937,17086,10300,11668,12593,32198,9237,9685,20309,5797,449740,877976,450177,333555,397874,362129,386242,407356,73706,350333,78927,89334,9278,6459,35536,23502,60306,30284,2686,13800,372898,235558,154325,149947,172562,168309,169527,93751,23389,142229,83148,92980,40151,1766,40665,32971,78096,44310,20045,38354,82015,137398,76807,37606,111337,93715,111833,118652,90145,88331,23068,18127,28158,6205,20741,142602,146011,103291,22074,31910,173458,178579,84033,5534,126590,230668,184424,142041,67146,118520,150542,97299,49955,16425,40928,29260,121618,52893,21894,42252,101108,128565,62969,51150,30877,34661,8610,30229,,17310,41390,39846,24215,11183,11899,78029,139852,118894,6574,36045,24448,40494,31776,5310,5287,219166,245319,115542,27288,93684,81250,61683,57330,22073,44229,595624,537768,372508,140930,269711,246862,237838,220912,52355,103057,15086,28224,7215,1823,6595,242946,270949,187096,38013,130898,68004,85197,83749,20590,70223,160956,148415,31206,17552,62285,320372,186179,292893,41424,223108,18938,24676,12833,4103,7504,93579,135561,33649,8612,23230,15230,10565,9449,8762,3554,193386,233546,93800,41331,76106,551292,1222797,701973,309439,439058,85717,107554,30960,3602,18966,28039,15153,13572,,6545,184772,240958,104129,49833,91531,246153,230587,88851,49920,44932,54426,63749,38010,10685,21018,156137,133639,74456,56482,87016,6215,9535,7795,,8540,531511,474527,339754,156673,315012
Free groceries in last 7 days,Did not report,538872,1108149,208344,105712,39490384,4574,20707,10124,,579960,694,358,1398,,59853,29221,7887,12391,,713901,16132,11983,,,386515,120000,155975,16650,13866,4467997,5780,13180,,4776,598399,,18399,,2315,464717,523,11763,,212,102073,2351,891,,,31055,23840,72294,24210,15578,3050698,2417,12423,,,1378483,9672,6135,,,115468,2247,1560,,502,168981,13098,18620,4982,,1496505,14980,807,1510,,939892,7319,2783,15156,7959,337730,8481,4937,2820,3499,324568,,11619,3701,,621679,8174,63246,1762,,790505,,,388,,113137,6968,20895,2493,,459298,14395,11611,16562,7955,823828,4673,2825,,3530,1299338,3719,11695,,,551485,2554,2243,,,326943,6820,21741,41378,31352,618482,558,2764,,,75535,1183,8159,2231,,223314,,10218,4172,888,371136,2421,1049,441,,111683,15747,42279,,,1268659,875,7531,3036,,259222,19078,116671,,,2585283,7250,115556,,,1434793,205,,,822,76034,30468,51951,,6830,1034998,20375,5867,,2100,403032,3401,1686,,693,407205,26368,31753,,1329,1634351,421,844,,1176,132067,15115,16051,3430,,810155,,,,,70694,4318,18145,5957,,848950,46553,77550,16938,,4053630,5662,7598,,330,252296,,1485,,,52205,15660,57647,,,983854,13106,17838,,,663036,,2853,,,231967,,,15547,,608773,1477,6078,1067,,76020,34824,126279,,,2705170
Free groceries in last 7 days,No,130547855,47878296,13906933,4454337,1204445,1739673,827359,310938,88489,8060,305888,102035,25160,10374,234,2993621,1088876,369352,127905,52541,1076952,464994,120186,45603,1715,15711448,4789157,1598212,351328,96794,2573094,831432,218197,74283,,1587410,423961,105938,72155,9649,393217,163250,57456,9843,1444,328614,42740,35158,5174,1180,7653164,3939892,1000370,379573,100012,3708030,1761745,582075,162737,22978,560373,257616,64973,2958,13641,801409,301848,85537,19579,6384,4686929,2047351,429203,199468,16341,2719119,842242,253277,93403,35023,1304794,448140,103516,9485,1008,1121741,423091,119715,30649,13624,1602796,682122,221860,89018,15193,1198328,712323,262115,120293,8942,614127,228967,39264,11896,6059,2723260,873540,229261,52204,15498,3053797,890577,235343,49171,40417,4080208,1392636,399161,140346,14958,2573112,734663,169556,42746,19191,907813,624393,173384,73447,13892,2619317,789675,183368,163036,20900,514166,158697,51442,19508,2828,800649,249945,63825,18412,6457,1098392,524207,225594,24201,18341,635607,226749,64518,5796,3796,3914537,1191354,296674,71264,69297,712644,312191,148483,33410,17284,7822269,2670576,769912,435522,31717,4102615,1376062,543096,114241,67575,303797,109949,29247,19879,1566,5053639,1628030,494742,144416,24586,1403266,732201,187673,60864,19143,1888431,599635,132440,51662,15745,5230711,1766496,609150,166968,31963,487771,154133,34981,4876,6970,2067109,760864,181058,74860,23689,388820,136765,23089,12171,758,2608829,1191790,260215,139556,14699,10423784,4235558,1424075,346296,248414,1416910,533505,108867,14149,1610,301597,86292,29198,17328,3510,3726786,1148591,292803,88508,16731,3541968,1113475,212427,88468,21012,561210,421352,99290,7792,8856,2689081,775340,213637,63002,6925,215038,89915,17922,6025,5293,7887925,2184889,722956,364641,75856
